CPU: 12 | Memory: 4791615488 | Platform: win32
CPU: 12 | Memory: 4810133504 | Platform: win32
CPU: 12 | Memory: 4816592896 | Platform: win32
CPU: 12 | Memory: 4793950208 | Platform: win32
CPU: 12 | Memory: 4788363264 | Platform: win32
CPU: 12 | Memory: 4781924352 | Platform: win32
CPU: 12 | Memory: 4754763776 | Platform: win32
CPU: 12 | Memory: 4790820864 | Platform: win32
CPU: 12 | Memory: 4785750016 | Platform: win32
CPU: 12 | Memory: 4752400384 | Platform: win32
CPU: 12 | Memory: 4735766528 | Platform: win32
CPU: 12 | Memory: 4734844928 | Platform: win32
CPU: 12 | Memory: 4777213952 | Platform: win32
CPU: 12 | Memory: 4800614400 | Platform: win32
CPU: 12 | Memory: 4793409536 | Platform: win32
CPU: 12 | Memory: 4806815744 | Platform: win32
CPU: 12 | Memory: 4799639552 | Platform: win32
CPU: 12 | Memory: 4799692800 | Platform: win32
CPU: 12 | Memory: 4761743360 | Platform: win32
CPU: 12 | Memory: 4796960768 | Platform: win32
CPU: 12 | Memory: 4799410176 | Platform: win32
CPU: 12 | Memory: 4823412736 | Platform: win32
CPU: 12 | Memory: 4823556096 | Platform: win32
CPU: 12 | Memory: 4823576576 | Platform: win32
CPU: 12 | Memory: 4826419200 | Platform: win32
CPU: 12 | Memory: 4826882048 | Platform: win32
CPU: 12 | Memory: 4828622848 | Platform: win32
CPU: 12 | Memory: 4839837696 | Platform: win32
CPU: 12 | Memory: 4829937664 | Platform: win32
CPU: 12 | Memory: 4798853120 | Platform: win32
CPU: 12 | Memory: 4883984384 | Platform: win32
CPU: 12 | Memory: 4877758464 | Platform: win32
CPU: 12 | Memory: 4875960320 | Platform: win32
CPU: 12 | Memory: 4870004736 | Platform: win32
CPU: 12 | Memory: 4862410752 | Platform: win32
CPU: 12 | Memory: 4872708096 | Platform: win32
CPU: 12 | Memory: 4893257728 | Platform: win32
CPU: 12 | Memory: 4897779712 | Platform: win32
CPU: 12 | Memory: 4888846336 | Platform: win32
CPU: 12 | Memory: 4923076608 | Platform: win32
CPU: 12 | Memory: 4914683904 | Platform: win32
CPU: 12 | Memory: 4911542272 | Platform: win32
CPU: 12 | Memory: 4858564608 | Platform: win32
CPU: 12 | Memory: 4857528320 | Platform: win32
CPU: 12 | Memory: 4861386752 | Platform: win32
CPU: 12 | Memory: 4883267584 | Platform: win32
CPU: 12 | Memory: 4881399808 | Platform: win32
CPU: 12 | Memory: 4881903616 | Platform: win32
CPU: 12 | Memory: 4894412800 | Platform: win32
CPU: 12 | Memory: 4893491200 | Platform: win32
CPU: 12 | Memory: 4890841088 | Platform: win32
CPU: 12 | Memory: 4862996480 | Platform: win32
CPU: 12 | Memory: 4859531264 | Platform: win32
CPU: 12 | Memory: 4921077760 | Platform: win32
CPU: 12 | Memory: 4969185280 | Platform: win32
CPU: 12 | Memory: 4970811392 | Platform: win32
CPU: 12 | Memory: 4971610112 | Platform: win32
CPU: 12 | Memory: 4991913984 | Platform: win32
CPU: 12 | Memory: 4993085440 | Platform: win32
CPU: 12 | Memory: 4984102912 | Platform: win32
CPU: 12 | Memory: 5014491136 | Platform: win32
CPU: 12 | Memory: 5017182208 | Platform: win32
CPU: 12 | Memory: 5015728128 | Platform: win32
CPU: 12 | Memory: 4976484352 | Platform: win32
CPU: 12 | Memory: 4985913344 | Platform: win32
CPU: 12 | Memory: 4987281408 | Platform: win32
CPU: 12 | Memory: 4965871616 | Platform: win32
CPU: 12 | Memory: 4968787968 | Platform: win32
CPU: 12 | Memory: 4961628160 | Platform: win32
CPU: 12 | Memory: 4958420992 | Platform: win32
CPU: 12 | Memory: 4952522752 | Platform: win32
CPU: 12 | Memory: 4954505216 | Platform: win32
CPU: 12 | Memory: 4987543552 | Platform: win32
CPU: 12 | Memory: 5006110720 | Platform: win32
CPU: 12 | Memory: 5002272768 | Platform: win32
CPU: 12 | Memory: 4971433984 | Platform: win32
CPU: 12 | Memory: 4965146624 | Platform: win32
CPU: 12 | Memory: 4981448704 | Platform: win32
CPU: 12 | Memory: 4977487872 | Platform: win32
CPU: 12 | Memory: 4955570176 | Platform: win32
CPU: 12 | Memory: 4954931200 | Platform: win32
CPU: 12 | Memory: 4981350400 | Platform: win32
CPU: 12 | Memory: 4981538816 | Platform: win32
